,num_warmup_steps,init_lr,adam_beta1,adam_beta2,power,num_epochs,precision,recall,f_score,time
0,0,2e-05,0.8,0.9,1.0,3,0.7784090909090908,0.743421052631579,0.6850978618952264,33.10899043083191
1,0,2e-05,0.8,0.9,1.0,5,0.196,0.5,0.2816091954022989,30.33890724182129
2,0,2e-05,0.8,0.9,1.5,3,0.6991869918699187,0.5131578947368421,0.3105247465712582,30.716328859329224
3,0,2e-05,0.8,0.9,1.5,5,0.196,0.5,0.2816091954022989,30.858566999435425
4,0,2e-05,0.8,0.999,1.0,3,0.196,0.5,0.2816091954022989,53.329585552215576
5,0,2e-05,0.8,0.999,1.0,5,0.6975806451612903,0.506578947368421,0.2962240072066662,35.24208450317383
6,0,2e-05,0.8,0.999,1.5,3,0.6975806451612903,0.506578947368421,0.2962240072066662,32.84380865097046
7,0,2e-05,0.8,0.999,1.5,5,0.6975806451612903,0.506578947368421,0.2962240072066662,31.80213761329651
8,0,2e-05,0.9,0.9,1.0,3,0.196,0.5,0.2816091954022989,30.68559169769287
9,0,2e-05,0.9,0.9,1.0,5,0.196,0.5,0.2816091954022989,31.17756724357605
10,0,2e-05,0.9,0.9,1.5,3,0.196,0.5,0.2816091954022989,30.608022451400757
11,0,2e-05,0.9,0.9,1.5,5,0.196,0.5,0.2816091954022989,30.301877737045288
12,0,2e-05,0.9,0.999,1.0,3,0.196,0.5,0.2816091954022989,30.530828714370728
13,0,2e-05,0.9,0.999,1.0,5,0.196,0.5,0.2816091954022989,29.574588537216187
14,0,2e-05,0.9,0.999,1.5,3,0.196,0.5,0.2816091954022989,30.337550163269043
15,0,2e-05,0.9,0.999,1.5,5,0.196,0.5,0.2816091954022989,30.890054941177368
16,0,1e-05,0.8,0.9,1.0,3,0.196,0.5,0.2816091954022989,30.60942769050598
17,0,1e-05,0.8,0.9,1.0,5,0.7024793388429752,0.5263157894736842,0.338235294117647,30.344083070755005
18,0,1e-05,0.8,0.9,1.5,3,0.196,0.5,0.2816091954022989,30.660285711288452
19,0,1e-05,0.8,0.9,1.5,5,0.6975806451612903,0.506578947368421,0.2962240072066662,30.39505434036255
20,0,1e-05,0.8,0.999,1.0,3,0.196,0.5,0.2816091954022989,30.3986656665802
21,0,1e-05,0.8,0.999,1.0,5,0.196,0.5,0.2816091954022989,30.48686981201172
22,0,1e-05,0.8,0.999,1.5,3,0.196,0.5,0.2816091954022989,30.25560474395752
23,0,1e-05,0.8,0.999,1.5,5,0.196,0.5,0.2816091954022989,30.524688005447388
24,0,1e-05,0.9,0.9,1.0,3,0.196,0.5,0.2816091954022989,29.37453269958496
25,0,1e-05,0.9,0.9,1.0,5,0.6975806451612903,0.506578947368421,0.2962240072066662,30.731431245803833
26,0,1e-05,0.9,0.9,1.5,3,0.196,0.5,0.2816091954022989,29.165024518966675
27,0,1e-05,0.9,0.9,1.5,5,0.6975806451612903,0.506578947368421,0.2962240072066662,29.433398246765137
28,0,1e-05,0.9,0.999,1.0,3,0.6975806451612903,0.506578947368421,0.2962240072066662,30.40876531600952
29,0,1e-05,0.9,0.999,1.0,5,0.196,0.5,0.2816091954022989,30.51177978515625
30,0,1e-05,0.9,0.999,1.5,3,0.196,0.5,0.2816091954022989,29.06672477722168
31,0,1e-05,0.9,0.999,1.5,5,0.7024793388429752,0.5263157894736842,0.338235294117647,30.34470558166504
32,1,2e-05,0.8,0.9,1.0,3,0.196,0.5,0.2816091954022989,30.56916832923889
33,1,2e-05,0.8,0.9,1.0,5,0.196,0.5,0.2816091954022989,30.716964960098267
34,1,2e-05,0.8,0.9,1.5,3,0.196,0.5,0.2816091954022989,30.426119565963745
35,1,2e-05,0.8,0.9,1.5,5,0.196,0.5,0.2816091954022989,30.190714120864868
36,1,2e-05,0.8,0.999,1.0,3,0.7355769230769231,0.6381578947368421,0.5367562832693215,30.245027780532837
37,1,2e-05,0.8,0.999,1.0,5,0.196,0.5,0.2816091954022989,30.45503830909729
38,1,2e-05,0.8,0.999,1.5,3,0.196,0.5,0.2816091954022989,30.233817100524902
39,1,2e-05,0.8,0.999,1.5,5,0.7076271186440678,0.5460526315789473,0.37775052305028495,30.552633047103882
40,1,2e-05,0.9,0.9,1.0,3,0.196,0.5,0.2816091954022989,28.92212724685669
41,1,2e-05,0.9,0.9,1.0,5,0.196,0.5,0.2816091954022989,30.187748908996582
42,1,2e-05,0.9,0.9,1.5,3,0.196,0.5,0.2816091954022989,30.352805137634277
43,1,2e-05,0.9,0.9,1.5,5,0.196,0.5,0.2816091954022989,30.357380151748657
44,1,2e-05,0.9,0.999,1.0,3,0.196,0.5,0.2816091954022989,30.006993055343628
45,1,2e-05,0.9,0.999,1.0,5,0.7024793388429752,0.5263157894736842,0.338235294117647,30.44018244743347
46,1,2e-05,0.9,0.999,1.5,3,0.7024793388429752,0.5263157894736842,0.338235294117647,30.39527702331543
47,1,2e-05,0.9,0.999,1.5,5,0.196,0.5,0.2816091954022989,30.241377115249634
48,1,1e-05,0.8,0.9,1.0,3,0.196,0.5,0.2816091954022989,30.25495409965515
49,1,1e-05,0.8,0.9,1.0,5,0.196,0.5,0.2816091954022989,30.08684730529785
50,1,1e-05,0.8,0.9,1.5,3,0.6975806451612903,0.506578947368421,0.2962240072066662,30.32601571083069
51,1,1e-05,0.8,0.9,1.5,5,0.196,0.5,0.2816091954022989,30.072217226028442
52,1,1e-05,0.8,0.999,1.0,3,0.196,0.5,0.2816091954022989,30.25223159790039
53,1,1e-05,0.8,0.999,1.0,5,0.196,0.5,0.2816091954022989,30.31635093688965
54,1,1e-05,0.8,0.999,1.5,3,0.6975806451612903,0.506578947368421,0.2962240072066662,30.43808913230896
55,1,1e-05,0.8,0.999,1.5,5,0.196,0.5,0.2816091954022989,30.22249698638916
56,1,1e-05,0.9,0.9,1.0,3,0.196,0.5,0.2816091954022989,29.1019926071167
57,1,1e-05,0.9,0.9,1.0,5,0.196,0.5,0.2816091954022989,30.249306678771973
58,1,1e-05,0.9,0.9,1.5,3,0.196,0.5,0.2816091954022989,30.407512187957764
59,1,1e-05,0.9,0.9,1.5,5,0.196,0.5,0.2816091954022989,29.27567768096924
60,1,1e-05,0.9,0.999,1.0,3,0.196,0.5,0.2816091954022989,30.609633922576904
61,1,1e-05,0.9,0.999,1.0,5,0.196,0.5,0.2816091954022989,30.176702976226807
62,1,1e-05,0.9,0.999,1.5,3,0.196,0.5,0.2816091954022989,30.305747032165527
63,1,1e-05,0.9,0.999,1.5,5,0.196,0.5,0.2816091954022989,30.47251272201538
